0.8213,0.758,0.9,0.9228,0.7455,0.3888,0.2968
0.0048,0.0038,0.0017,0.0004,0.0012,0.0057,0.0081
,,,,,,
0.8213,0.7637,0.7906,0.7447,0.7449,0.3608,0.1343
0.7239,0.758,0.746,0.7366,0.7421,0.3722,0.1154
0.7786,0.7456,0.9,0.859,0.7148,0.3668,0.1021
0.7493,0.7097,0.8472,0.9228,0.7036,0.3755,0.0707
0.7005,0.7111,0.6875,0.6971,0.7455,0.3732,0.0843
0.3625,0.3806,0.3592,0.3725,0.375,0.3888,0.1815
0.1004,0.1109,0.0693,0.054,0.086,0.134,0.2968
,,,,,,
0.0048,0.0012,0.0011,0.0004,0.0012,0.0011,0.0011
0.0003,0.0038,0.0004,0.0005,0.0004,0.0007,0.0009
0.0016,0.0012,0.0017,0.0008,0.0008,0.0011,0.0012
0.0002,0.0005,0.0003,0.0004,0.0003,0.0009,0.0007
0.0004,0.0004,0,0,0.0012,0.0009,0.0012
0.0004,0.0006,0.0004,0.0004,0.0006,0.0057,0.0008
0.0007,0.0005,0.0003,0.0001,0.0005,0.0012,0.0081
